date,q_cfs
2016-10-01,198.0
2016-10-02,206.0
2016-10-03,209.0
2016-10-04,209.0
2016-10-05,208.0
2016-10-06,210.0
2016-10-07,212.0
2016-10-08,212.0
2016-10-09,211.0
2016-10-10,207.0
2016-10-11,205.0
2016-10-12,203.0
2016-10-13,209.0
2016-10-14,233.0
2016-10-15,323.0
2016-10-16,377.0
2016-10-17,372.0
2016-10-18,326.0
2016-10-19,298.0
2016-10-20,276.0
2016-10-21,267.0
2016-10-22,263.0
2016-10-23,258.0
2016-10-24,264.0
2016-10-25,328.0
2016-10-26,309.0
2016-10-27,290.0
2016-10-28,310.0
2016-10-29,385.0
2016-10-30,370.0
2016-10-31,811.0
2016-11-01,620.0
2016-11-02,505.0
2016-11-03,437.0
2016-11-04,410.0
2016-11-05,383.0
2016-11-06,366.0
2016-11-07,350.0
2016-11-08,337.0
2016-11-09,328.0
2016-11-10,320.0
2016-11-11,313.0
2016-11-12,307.0
2016-11-13,301.0
2016-11-14,296.0
2016-11-15,297.0
2016-11-16,300.0
2016-11-17,284.0
2016-11-18,258.0
2016-11-19,286.0
2016-11-20,276.0
2016-11-21,273.0
2016-11-22,266.0
2016-11-23,267.0
2016-11-24,261.0
2016-11-25,262.0
2016-11-26,260.0
2016-11-27,263.0
2016-11-28,265.0
2016-11-29,234.0
2016-11-30,197.0
2016-12-01,255.0
2016-12-02,200.0
2016-12-03,225.0
2016-12-04,271.0
2016-12-05,222.0
2016-12-06,159.0
2016-12-07,218.0
2016-12-08,179.0
2016-12-09,226.0
2016-12-10,281.0
2016-12-11,286.0
2016-12-12,268.0
2016-12-13,245.0
2016-12-14,222.0
2016-12-15,261.0
2016-12-16,273.0
2016-12-17,256.0
2016-12-18,204.0
2016-12-19,230.0
2016-12-20,290.0
2016-12-21,252.0
2016-12-22,225.0
2016-12-23,213.0
2016-12-24,241.0
2016-12-25,260.0
2016-12-26,231.0
2016-12-27,218.0
2016-12-28,236.0
2016-12-29,228.0
2016-12-30,235.0
2016-12-31,230.0
2017-01-01,247.0
2017-01-02,255.0
2017-01-03,265.0
2017-01-04,270.0
2017-01-05,255.0
2017-01-06,232.0
2017-01-07,240.0
2017-01-08,245.0
2017-01-09,255.0
2017-01-10,274.0
2017-01-11,262.0
2017-01-12,258.0
2017-01-13,251.0
2017-01-14,253.0
2017-01-15,275.0
2017-01-16,270.0
2017-01-17,275.0
2017-01-18,285.0
2017-01-19,300.0
2017-01-20,283.0
2017-01-21,270.0
2017-01-22,252.0
2017-01-23,254.0
2017-01-24,251.0
2017-01-25,243.0
2017-01-26,229.0
2017-01-27,223.0
2017-01-28,222.0
2017-01-29,219.0
2017-01-30,244.0
2017-01-31,262.0
2017-02-01,284.0
2017-02-02,284.0
2017-02-03,280.0
2017-02-04,284.0
2017-02-05,301.0
2017-02-06,313.0
2017-02-07,321.0
2017-02-08,312.0
2017-02-09,421.0
2017-02-10,1130.0
2017-02-11,1240.0
2017-02-12,928.0
2017-02-13,762.0
2017-02-14,669.0
2017-02-15,616.0
2017-02-16,603.0
2017-02-17,584.0
2017-02-18,579.0
2017-02-19,623.0
2017-02-20,577.0
2017-02-21,655.0
2017-02-22,617.0
2017-02-23,562.0
2017-02-24,512.0
2017-02-25,449.0
2017-02-26,452.0
2017-02-27,432.0
